,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameType
10,10,10,10,Miami Heat,Orlando Magic,L,10/17/2018,240,38,97,0.392,9,33,0.273,16,22,0.727,14,38,52,16,4,5,16,28,101,-3,regular season
11,11,11,11,Orlando Magic,Miami Heat,W,10/17/2018,240,39,94,0.415,7,25,0.28,19,31,0.613,14,37,51,20,7,7,12,25,104,3,regular season
12,12,12,12,Atlanta Hawks,New York Knicks,L,10/17/2018,240,41,90,0.456,10,36,0.278,15,18,0.833,7,38,45,19,7,3,24,30,107,-19,regular season
13,13,13,13,New York Knicks,Atlanta Hawks,W,10/17/2018,240,45,99,0.455,12,33,0.364,24,31,0.774,10,36,46,21,12,6,15,23,126,19,regular season
14,14,14,14,Cleveland Cavaliers,Toronto Raptors,L,10/17/2018,240,34,85,0.4,7,19,0.368,29,39,0.7440000000000001,14,35,49,17,4,0,16,25,104,-12,regular season
15,15,15,15,Toronto Raptors,Cleveland Cavaliers,W,10/17/2018,240,45,92,0.489,14,33,0.424,12,20,0.6,8,35,43,21,6,7,9,29,116,12,regular season
16,16,16,16,New Orleans Pelicans,Houston Rockets,W,10/17/2018,240,52,98,0.531,10,25,0.4,17,22,0.773,14,40,54,36,8,3,12,25,131,19,regular season
17,17,17,17,Houston Rockets,New Orleans Pelicans,L,10/17/2018,240,39,92,0.424,16,48,0.33299999999999996,18,24,0.75,8,29,37,21,8,7,11,22,112,-19,regular season
18,18,18,18,Minnesota Timberwolves,San Antonio Spurs,L,10/17/2018,240,39,91,0.429,6,19,0.316,24,27,0.889,14,32,46,20,9,2,11,27,108,-4,regular season
19,19,19,19,San Antonio Spurs,Minnesota Timberwolves,W,10/17/2018,240,40,93,0.43,11,25,0.44,21,29,0.7240000000000001,19,33,52,22,3,4,12,22,112,4,regular season
20,20,20,20,Utah Jazz,Sacramento Kings,W,10/17/2018,240,41,79,0.519,13,27,0.48100000000000004,28,38,0.737,5,39,44,21,8,4,17,19,123,6,regular season
21,21,21,21,Sacramento Kings,Utah Jazz,L,10/17/2018,240,49,95,0.516,7,19,0.368,12,18,0.667,5,32,37,17,8,3,9,27,117,-6,regular season
22,22,22,22,Denver Nuggets,Los Angeles Clippers,W,10/17/2018,240,33,87,0.379,8,24,0.33299999999999996,33,42,0.7859999999999999,14,42,56,20,6,9,10,22,107,9,regular season
23,23,23,23,Los Angeles Clippers,Denver Nuggets,L,10/17/2018,240,35,88,0.39799999999999996,8,28,0.28600000000000003,20,24,0.833,9,38,47,21,3,9,12,32,98,-9,regular season
24,24,24,24,Dallas Mavericks,Phoenix Suns,L,10/17/2018,240,38,88,0.4320000000000001,10,33,0.303,14,20,0.7,10,28,38,28,7,5,9,16,100,-21,regular season
25,25,25,25,Phoenix Suns,Dallas Mavericks,W,10/17/2018,240,44,81,0.5429999999999999,19,34,0.5589999999999999,14,16,0.875,6,38,44,35,5,2,11,22,121,21,regular season
26,26,26,26,Chicago Bulls,Philadelphia 76ers,L,10/18/2018,240,44,101,0.436,11,33,0.33299999999999996,9,12,0.75,5,34,39,28,4,6,12,23,108,-19,regular season
27,27,27,27,Philadelphia 76ers,Chicago Bulls,W,10/18/2018,240,44,93,0.473,12,36,0.33299999999999996,27,30,0.9,11,44,55,30,10,8,13,17,127,19,regular season
28,28,28,28,Miami Heat,Washington Wizards,W,10/18/2018,240,38,97,0.392,12,35,0.34299999999999997,25,34,0.735,22,33,55,25,6,5,16,26,113,1,regular season
29,29,29,29,Washington Wizards,Miami Heat,L,10/18/2018,240,38,81,0.469,7,26,0.26899999999999996,29,39,0.7440000000000001,7,33,40,19,7,15,14,31,112,-1,regular season
30,30,30,30,Los Angeles Lakers,Portland Trail Blazers,L,10/18/2018,240,45,93,0.484,7,30,0.233,22,29,0.759,8,38,46,23,10,6,15,26,119,-9,regular season
31,31,31,31,Portland Trail Blazers,Los Angeles Lakers,W,10/18/2018,240,44,100,0.44,13,37,0.35100000000000003,27,29,0.9309999999999999,14,40,54,21,9,10,16,26,128,9,regular season
32,32,32,32,Charlotte Hornets,Orlando Magic,W,10/19/2018,240,43,92,0.467,17,38,0.447,17,20,0.85,12,43,55,32,6,4,15,17,120,32,regular season
33,33,33,33,Orlando Magic,Charlotte Hornets,L,10/19/2018,240,36,94,0.38299999999999995,6,31,0.19399999999999998,10,14,0.7140000000000001,12,32,44,18,8,7,15,16,88,-32,regular season
34,34,34,34,New York Knicks,Brooklyn Nets,L,10/19/2018,240,39,97,0.402,9,28,0.321,18,20,0.9,12,24,36,14,10,1,3,19,105,-2,regular season
35,35,35,35,Brooklyn Nets,New York Knicks,W,10/19/2018,240,37,75,0.493,12,30,0.4,21,24,0.875,12,43,55,22,2,6,22,23,107,2,regular season
36,36,36,36,Atlanta Hawks,Memphis Grizzlies,L,10/19/2018,240,41,83,0.494,14,30,0.467,21,36,0.583,11,29,40,27,9,5,19,31,117,-14,regular season
37,37,37,37,Memphis Grizzlies,Atlanta Hawks,W,10/19/2018,240,44,81,0.5429999999999999,13,26,0.5,30,43,0.698,7,34,41,32,9,4,16,29,131,14,regular season
38,38,38,38,Cleveland Cavaliers,Minnesota Timberwolves,L,10/19/2018,240,45,93,0.484,8,23,0.348,25,29,0.862,13,30,43,26,5,2,14,24,123,-8,regular season
39,39,39,39,Minnesota Timberwolves,Cleveland Cavaliers,W,10/19/2018,240,44,87,0.506,10,25,0.4,33,35,0.943,9,31,40,28,9,7,13,21,131,8,regular season
40,40,40,40,Sacramento Kings,New Orleans Pelicans,L,10/19/2018,240,50,96,0.521,10,25,0.4,19,26,0.731,9,30,39,24,6,2,13,26,129,-20,regular season
41,41,41,41,New Orleans Pelicans,Sacramento Kings,W,10/19/2018,240,56,95,0.589,16,31,0.516,21,33,0.636,12,40,52,35,6,4,16,25,149,20,regular season
42,42,42,42,Boston Celtics,Toronto Raptors,L,10/19/2018,240,40,99,0.40399999999999997,14,36,0.389,7,10,0.7,16,33,49,29,4,6,14,27,101,-12,regular season
43,43,43,43,Toronto Raptors,Boston Celtics,W,10/19/2018,240,43,92,0.467,13,35,0.371,14,19,0.737,12,37,49,24,3,3,12,19,113,12,regular season
44,44,44,44,Indiana Pacers,Milwaukee Bucks,L,10/19/2018,240,38,87,0.4370000000000001,6,18,0.33299999999999996,19,27,0.7040000000000001,9,32,41,14,7,3,17,25,101,-17,regular season
45,45,45,45,Milwaukee Bucks,Indiana Pacers,W,10/19/2018,240,44,93,0.473,17,46,0.37,13,21,0.619,11,39,50,27,9,8,17,26,118,17,regular season
46,46,46,46,Oklahoma City Thunder,Los Angeles Clippers,L,10/19/2018,240,34,95,0.358,7,33,0.212,17,23,0.7390000000000001,15,37,52,18,5,4,12,29,92,-16,regular season
47,47,47,47,Los Angeles Clippers,Oklahoma City Thunder,W,10/19/2018,240,35,81,0.4320000000000001,11,26,0.423,27,36,0.75,10,38,48,21,3,3,14,24,108,16,regular season
48,48,48,48,Golden State Warriors,Utah Jazz,W,10/19/2018,240,49,87,0.563,10,19,0.526,16,18,0.889,8,35,43,27,10,6,16,23,124,1,regular season
49,49,49,49,Utah Jazz,Golden State Warriors,L,10/19/2018,240,40,89,0.449,19,46,0.413,24,29,0.828,10,28,38,24,11,4,16,19,123,-1,regular season
50,50,50,50,Brooklyn Nets,Indiana Pacers,L,10/20/2018,240,41,86,0.47700000000000004,16,37,0.4320000000000001,14,22,0.636,9,31,40,25,6,6,20,18,112,-20,regular season
51,51,51,51,Indiana Pacers,Brooklyn Nets,W,10/20/2018,240,51,92,0.5539999999999999,16,24,0.667,14,22,0.636,10,30,40,21,12,5,10,18,132,20,regular season
52,52,52,52,Toronto Raptors,Washington Wizards,W,10/20/2018,240,39,88,0.44299999999999995,10,29,0.345,29,36,0.8059999999999999,14,38,52,21,5,5,17,29,117,4,regular season
53,53,53,53,Washington Wizards,Toronto Raptors,L,10/20/2018,240,37,89,0.41600000000000004,13,39,0.33299999999999996,26,32,0.813,9,28,37,20,11,9,11,27,113,-4,regular season
54,54,54,54,Boston Celtics,New York Knicks,W,10/20/2018,240,33,82,0.402,9,25,0.36,28,33,0.848,11,36,47,21,8,2,15,26,103,2,regular season
55,55,55,55,New York Knicks,Boston Celtics,L,10/20/2018,240,36,87,0.414,12,35,0.34299999999999997,17,27,0.63,11,35,46,23,8,1,16,25,101,-2,regular season
56,56,56,56,Orlando Magic,Philadelphia 76ers,L,10/20/2018,240,41,90,0.456,16,29,0.552,17,22,0.773,14,35,49,31,7,7,14,15,115,-1,regular season
57,57,57,57,Philadelphia 76ers,Orlando Magic,W,10/20/2018,240,45,94,0.479,17,33,0.515,9,10,0.9,13,33,46,33,8,3,10,21,116,1,regular season
58,58,58,58,Detroit Pistons,Chicago Bulls,W,10/20/2018,240,41,101,0.406,18,40,0.45,18,23,0.7829999999999999,18,31,49,21,4,4,9,23,118,2,regular season
59,59,59,59,Chicago Bulls,Detroit Pistons,L,10/20/2018,240,44,87,0.506,7,21,0.33299999999999996,21,26,0.8079999999999999,5,36,41,26,4,3,11,20,116,-2,regular season
60,60,60,60,Charlotte Hornets,Miami Heat,W,10/20/2018,240,41,93,0.441,16,42,0.381,15,23,0.652,12,28,40,23,6,12,11,27,113,1,regular season
61,61,61,61,Miami Heat,Charlotte Hornets,L,10/20/2018,240,41,89,0.461,11,34,0.324,19,27,0.7040000000000001,12,37,49,21,4,11,15,27,112,-1,regular season
62,62,62,62,Minnesota Timberwolves,Dallas Mavericks,L,10/20/2018,240,44,84,0.524,14,27,0.519,34,40,0.85,6,27,33,23,10,3,17,30,136,-4,regular season
63,63,63,63,Dallas Mavericks,Minnesota Timberwolves,W,10/20/2018,240,49,98,0.5,17,50,0.34,25,34,0.735,15,27,42,29,8,8,16,28,140,4,regular season
64,64,64,64,Phoenix Suns,Denver Nuggets,L,10/20/2018,240,29,77,0.377,11,39,0.282,22,35,0.629,10,30,40,20,6,4,19,26,91,-28,regular season
65,65,65,65,Denver Nuggets,Phoenix Suns,W,10/20/2018,240,43,85,0.506,9,28,0.321,24,29,0.828,9,45,54,28,12,6,18,31,119,28,regular season
66,66,66,66,San Antonio Spurs,Portland Trail Blazers,L,10/20/2018,240,42,100,0.42,13,30,0.433,11,14,0.7859999999999999,15,25,40,29,5,4,6,17,108,-13,regular season
67,67,67,67,Portland Trail Blazers,San Antonio Spurs,W,10/20/2018,240,45,84,0.536,15,32,0.469,16,19,0.8420000000000001,8,38,46,24,5,3,12,14,121,13,regular season
68,68,68,68,Houston Rockets,Los Angeles Lakers,W,10/20/2018,240,44,96,0.45799999999999996,16,42,0.381,20,30,0.667,13,41,54,22,7,4,16,21,124,9,regular season
69,69,69,69,Los Angeles Lakers,Houston Rockets,L,10/20/2018,240,48,100,0.48,8,32,0.25,11,18,0.611,9,35,44,28,8,10,10,21,115,-9,regular season
70,70,70,70,Atlanta Hawks,Cleveland Cavaliers,W,10/21/2018,240,48,98,0.49,22,47,0.46799999999999997,15,19,0.789,9,35,44,32,9,7,12,21,133,22,regular season
71,71,71,71,Cleveland Cavaliers,Atlanta Hawks,L,10/21/2018,240,46,99,0.465,10,27,0.37,9,14,0.643,15,34,49,23,5,2,18,25,111,-22,regular season
72,72,72,72,Sacramento Kings,Oklahoma City Thunder,W,10/21/2018,240,50,91,0.5489999999999999,10,22,0.455,21,28,0.75,12,34,46,28,11,7,17,26,131,11,regular season
73,73,73,73,Oklahoma City Thunder,Sacramento Kings,L,10/21/2018,240,46,104,0.442,9,39,0.231,19,30,0.633,18,33,51,23,11,9,18,29,120,-11,regular season
74,74,74,74,Golden State Warriors,Denver Nuggets,L,10/21/2018,240,36,79,0.456,7,29,0.24100000000000002,19,24,0.792,6,34,40,22,4,6,18,29,98,-2,regular season
75,75,75,75,Denver Nuggets,Golden State Warriors,W,10/21/2018,240,35,86,0.40700000000000003,6,32,0.188,24,42,0.5710000000000001,13,34,47,21,11,4,8,22,100,2,regular season
76,76,76,76,Houston Rockets,Los Angeles Clippers,L,10/21/2018,240,43,89,0.483,15,35,0.429,11,15,0.733,6,29,35,28,6,6,12,23,112,-3,regular season
77,77,77,77,Los Angeles Clippers,Houston Rockets,W,10/21/2018,240,42,89,0.47200000000000003,5,25,0.2,26,26,1.0,12,37,49,22,8,7,13,16,115,3,regular season
78,78,78,78,Orlando Magic,Boston Celtics,W,10/22/2018,240,38,93,0.409,10,35,0.28600000000000003,7,10,0.7,8,41,49,28,6,2,9,15,93,3,regular season
79,79,79,79,Boston Celtics,Orlando Magic,L,10/22/2018,240,37,91,0.40700000000000003,9,40,0.225,7,9,0.778,9,42,51,21,6,3,12,15,90,-3,regular season
80,80,80,80,Charlotte Hornets,Toronto Raptors,L,10/22/2018,240,41,97,0.423,9,28,0.321,15,18,0.833,14,27,41,21,5,5,12,14,106,-21,regular season
81,81,81,81,Toronto Raptors,Charlotte Hornets,W,10/22/2018,240,50,87,0.575,15,39,0.385,12,14,0.857,5,41,46,36,10,8,13,21,127,21,regular season
82,82,82,82,New York Knicks,Milwaukee Bucks,L,10/22/2018,240,45,99,0.455,10,29,0.345,13,15,0.867,11,32,43,22,6,2,11,21,113,-11,regular season
83,83,83,83,Milwaukee Bucks,New York Knicks,W,10/22/2018,240,45,96,0.469,17,40,0.425,17,24,0.708,19,36,55,27,5,9,14,18,124,11,regular season
84,84,84,84,Indiana Pacers,Minnesota Timberwolves,L,10/22/2018,240,36,92,0.391,8,26,0.308,11,16,0.688,12,33,45,18,6,6,15,24,91,-10,regular season
85,85,85,85,Minnesota Timberwolves,Indiana Pacers,W,10/22/2018,240,36,85,0.424,7,33,0.212,22,24,0.917,8,39,47,24,9,12,15,17,101,10,regular season
86,86,86,86,Chicago Bulls,Dallas Mavericks,L,10/22/2018,240,41,80,0.513,13,23,0.565,14,21,0.667,7,27,34,18,6,4,19,29,109,-6,regular season
87,87,87,87,Dallas Mavericks,Chicago Bulls,W,10/22/2018,240,40,93,0.43,15,47,0.319,20,21,0.9520000000000001,13,28,41,25,8,2,15,16,115,6,regular season
88,88,88,88,Memphis Grizzlies,Utah Jazz,W,10/22/2018,240,31,84,0.369,9,28,0.321,21,26,0.8079999999999999,7,36,43,18,10,2,10,22,92,8,regular season
89,89,89,89,Utah Jazz,Memphis Grizzlies,L,10/22/2018,240,29,82,0.354,8,32,0.25,18,23,0.7829999999999999,10,40,50,18,6,6,15,22,84,-8,regular season
90,90,90,90,Washington Wizards,Portland Trail Blazers,W,10/22/2018,265,46,110,0.418,15,37,0.405,18,26,0.6920000000000001,12,42,54,23,6,7,10,27,125,1,regular season
91,91,91,91,Portland Trail Blazers,Washington Wizards,L,10/22/2018,265,43,108,0.39799999999999996,11,39,0.282,27,31,0.871,17,53,70,22,6,4,19,22,124,-1,regular season
92,92,92,92,Phoenix Suns,Golden State Warriors,L,10/22/2018,240,39,86,0.45299999999999996,9,34,0.265,16,18,0.889,12,33,45,24,8,1,21,21,103,-20,regular season
93,93,93,93,Golden State Warriors,Phoenix Suns,W,10/22/2018,240,45,88,0.511,14,37,0.37799999999999995,19,26,0.731,7,33,40,35,12,4,14,24,123,20,regular season
94,94,94,94,San Antonio Spurs,Los Angeles Lakers,W,10/22/2018,265,50,97,0.515,15,28,0.536,28,38,0.737,10,37,47,32,9,3,9,26,143,1,regular season
95,95,95,95,Los Angeles Lakers,San Antonio Spurs,L,10/22/2018,265,55,107,0.514,14,39,0.359,18,26,0.6920000000000001,13,39,52,33,5,6,15,29,142,-1,regular season
96,96,96,96,Philadelphia 76ers,Detroit Pistons,L,10/23/2018,265,49,98,0.5,14,43,0.326,20,28,0.7140000000000001,8,40,48,32,3,8,11,24,132,-1,regular season
97,97,97,97,Detroit Pistons,Philadelphia 76ers,W,10/23/2018,265,51,108,0.47200000000000003,12,33,0.364,19,27,0.7040000000000001,12,34,46,22,4,4,8,24,133,1,regular season
98,98,98,98,Los Angeles Clippers,New Orleans Pelicans,L,10/23/2018,240,41,87,0.47100000000000003,5,20,0.25,22,27,0.815,9,38,47,18,5,4,16,26,109,-7,regular season
99,99,99,99,New Orleans Pelicans,Los Angeles Clippers,W,10/23/2018,240,40,93,0.43,6,24,0.25,30,40,0.75,12,36,48,22,12,8,8,24,116,7,regular season
100,100,100,100,Sacramento Kings,Denver Nuggets,L,10/23/2018,240,45,86,0.523,13,31,0.419,9,20,0.45,9,30,39,29,7,6,16,17,112,-14,regular season
101,101,101,101,Denver Nuggets,Sacramento Kings,W,10/23/2018,240,51,99,0.515,11,30,0.3670000000000001,13,15,0.867,15,34,49,31,11,3,12,22,126,14,regular season
102,102,102,102,Dallas Mavericks,Atlanta Hawks,L,10/24/2018,240,38,91,0.418,12,40,0.3,16,26,0.615,9,43,52,25,7,9,17,27,104,-7,regular season
103,103,103,103,Atlanta Hawks,Dallas Mavericks,W,10/24/2018,240,37,91,0.40700000000000003,15,38,0.395,22,31,0.71,10,44,54,28,6,6,15,26,111,7,regular season
104,104,104,104,Brooklyn Nets,Cleveland Cavaliers,W,10/24/2018,240,38,87,0.4370000000000001,14,34,0.41200000000000003,12,15,0.8,8,36,44,23,8,1,14,16,102,16,regular season
105,105,105,105,Cleveland Cavaliers,Brooklyn Nets,L,10/24/2018,240,34,89,0.382,3,18,0.16699999999999998,15,16,0.938,16,37,53,18,5,2,15,19,86,-16,regular season
106,106,106,106,New York Knicks,Miami Heat,L,10/24/2018,240,33,91,0.363,12,33,0.364,9,14,0.643,10,35,45,20,5,3,12,23,87,-23,regular season
107,107,107,107,Miami Heat,New York Knicks,W,10/24/2018,240,39,82,0.47600000000000003,13,29,0.44799999999999995,19,28,0.679,4,47,51,24,7,5,13,15,110,23,regular season
108,108,108,108,Minnesota Timberwolves,Toronto Raptors,L,10/24/2018,240,40,96,0.41700000000000004,15,30,0.5,10,16,0.625,16,28,44,25,10,5,15,17,105,-7,regular season
109,109,109,109,Toronto Raptors,Minnesota Timberwolves,W,10/24/2018,240,46,89,0.517,11,32,0.344,9,12,0.75,11,33,44,26,9,8,16,18,112,7,regular season
110,110,110,110,Charlotte Hornets,Chicago Bulls,L,10/24/2018,240,37,85,0.435,10,35,0.28600000000000003,26,29,0.897,8,28,36,23,5,5,6,20,110,-2,regular season
111,111,111,111,Chicago Bulls,Charlotte Hornets,W,10/24/2018,240,37,77,0.48100000000000004,10,29,0.345,28,35,0.8,9,36,45,21,4,5,14,24,112,2,regular season
112,112,112,112,Utah Jazz,Houston Rockets,W,10/24/2018,240,34,78,0.436,10,29,0.345,22,28,0.7859999999999999,9,38,47,21,7,5,18,21,100,11,regular season
113,113,113,113,Houston Rockets,Utah Jazz,L,10/24/2018,240,35,87,0.402,11,40,0.275,8,14,0.5710000000000001,10,25,35,16,12,5,15,23,89,-11,regular season
114,114,114,114,Indiana Pacers,San Antonio Spurs,W,10/24/2018,240,46,87,0.529,17,32,0.531,7,8,0.875,5,35,40,34,9,5,10,22,116,20,regular season
115,115,115,115,San Antonio Spurs,Indiana Pacers,L,10/24/2018,240,35,87,0.402,6,19,0.316,20,21,0.9520000000000001,15,31,46,16,3,3,13,16,96,-20,regular season
116,116,116,116,Philadelphia 76ers,Milwaukee Bucks,L,10/24/2018,240,38,92,0.413,11,34,0.324,21,30,0.7,8,42,50,29,4,5,16,27,108,-15,regular season
117,117,117,117,Milwaukee Bucks,Philadelphia 76ers,W,10/24/2018,240,41,100,0.41,13,43,0.302,28,30,0.9329999999999999,9,42,51,24,7,10,11,27,123,15,regular season
118,118,118,118,Los Angeles Lakers,Phoenix Suns,W,10/24/2018,240,52,100,0.52,10,28,0.35700000000000004,17,23,0.7390000000000001,11,32,43,34,13,5,8,19,131,18,regular season
119,119,119,119,Phoenix Suns,Los Angeles Lakers,L,10/24/2018,240,44,84,0.524,10,31,0.32299999999999995,15,21,0.7140000000000001,9,35,44,27,4,4,19,23,113,-18,regular season
120,120,120,120,Memphis Grizzlies,Sacramento Kings,L,10/24/2018,240,36,94,0.38299999999999995,10,37,0.27,10,13,0.769,13,36,49,18,7,6,15,25,92,-5,regular season
121,121,121,121,Sacramento Kings,Memphis Grizzlies,W,10/24/2018,240,35,83,0.42200000000000004,6,18,0.33299999999999996,21,33,0.636,15,42,57,19,7,5,14,15,97,5,regular season
122,122,122,122,Washington Wizards,Golden State Warriors,L,10/24/2018,240,42,93,0.452,12,42,0.28600000000000003,26,28,0.929,7,27,34,22,7,1,12,24,122,-22,regular season
123,123,123,123,Golden State Warriors,Washington Wizards,W,10/24/2018,240,53,92,0.5760000000000001,15,33,0.455,23,25,0.92,10,38,48,37,6,5,15,22,144,22,regular season
124,124,124,124,Cleveland Cavaliers,Detroit Pistons,L,10/25/2018,240,41,89,0.461,8,24,0.33299999999999996,13,15,0.867,7,23,30,18,11,1,9,25,103,-7,regular season
125,125,125,125,Detroit Pistons,Cleveland Cavaliers,W,10/25/2018,240,41,78,0.526,11,28,0.39299999999999996,17,29,0.586,13,35,48,21,4,5,20,21,110,7,regular season
126,126,126,126,Portland Trail Blazers,Orlando Magic,W,10/25/2018,240,48,87,0.552,11,27,0.40700000000000003,21,26,0.8079999999999999,12,32,44,24,6,6,10,22,128,14,regular season
127,127,127,127,Orlando Magic,Portland Trail Blazers,L,10/25/2018,240,43,86,0.5,12,30,0.4,16,20,0.8,11,29,40,29,5,7,14,21,114,-14,regular season
128,128,128,128,Boston Celtics,Oklahoma City Thunder,W,10/25/2018,240,33,86,0.384,11,32,0.344,24,33,0.727,10,35,45,19,7,1,11,27,101,6,regular season
129,129,129,129,Oklahoma City Thunder,Boston Celtics,L,10/25/2018,240,37,94,0.39399999999999996,7,28,0.25,14,25,0.56,16,41,57,19,5,6,16,27,95,-6,regular season
130,130,130,130,Denver Nuggets,Los Angeles Lakers,L,10/25/2018,240,46,92,0.5,6,23,0.261,16,20,0.8,10,34,44,22,8,5,19,22,114,-7,regular season
131,131,131,131,Los Angeles Lakers,Denver Nuggets,W,10/25/2018,240,46,92,0.5,10,29,0.345,19,23,0.826,9,33,42,27,13,3,13,19,121,7,regular season
132,132,132,132,Chicago Bulls,Charlotte Hornets,L,10/26/2018,240,37,85,0.435,16,36,0.444,16,22,0.727,8,26,34,21,5,7,13,16,106,-29,regular season
133,133,133,133,Charlotte Hornets,Chicago Bulls,W,10/26/2018,240,53,93,0.57,14,32,0.43799999999999994,15,16,0.938,11,39,50,30,10,10,10,18,135,29,regular season
134,134,134,134,Golden State Warriors,New York Knicks,W,10/26/2018,240,51,87,0.586,16,33,0.485,10,12,0.833,6,33,39,26,10,6,14,16,128,28,regular season
135,135,135,135,New York Knicks,Golden State Warriors,L,10/26/2018,240,39,90,0.433,13,39,0.33299999999999996,9,12,0.75,11,29,40,17,6,1,19,18,100,-28,regular season
136,136,136,136,Dallas Mavericks,Toronto Raptors,L,10/26/2018,240,38,92,0.413,12,30,0.4,19,24,0.792,10,34,44,22,6,6,14,17,107,-9,regular season
137,137,137,137,Toronto Raptors,Dallas Mavericks,W,10/26/2018,240,44,91,0.484,11,27,0.40700000000000003,17,20,0.85,12,38,50,23,10,5,12,22,116,9,regular season
138,138,138,138,Los Angeles Clippers,Houston Rockets,W,10/26/2018,240,43,79,0.544,12,23,0.522,35,38,0.9209999999999999,5,39,44,17,8,4,15,21,133,20,regular season
139,139,139,139,Houston Rockets,Los Angeles Clippers,L,10/26/2018,240,38,98,0.38799999999999996,15,41,0.366,22,25,0.88,16,26,42,21,11,7,13,27,113,-20,regular season
140,140,140,140,Milwaukee Bucks,Minnesota Timberwolves,W,10/26/2018,240,49,92,0.5329999999999999,19,46,0.413,8,11,0.727,7,55,62,32,4,8,17,23,125,30,regular season
141,141,141,141,Minnesota Timberwolves,Milwaukee Bucks,L,10/26/2018,240,36,112,0.321,10,43,0.233,13,18,0.722,17,32,49,19,10,6,7,15,95,-30,regular season
142,142,142,142,Brooklyn Nets,New Orleans Pelicans,L,10/26/2018,240,43,98,0.439,19,40,0.475,10,15,0.667,16,38,54,26,6,8,18,22,115,-2,regular season
143,143,143,143,New Orleans Pelicans,Brooklyn Nets,W,10/26/2018,240,44,98,0.449,9,23,0.391,20,26,0.769,15,31,46,23,11,11,11,20,117,2,regular season
144,144,144,144,Washington Wizards,Sacramento Kings,L,10/26/2018,240,40,86,0.465,14,42,0.33299999999999996,18,23,0.7829999999999999,5,37,42,22,8,7,21,27,112,-4,regular season
145,145,145,145,Sacramento Kings,Washington Wizards,W,10/26/2018,240,44,95,0.46299999999999997,14,37,0.37799999999999995,14,23,0.609,14,39,53,25,8,4,18,18,116,4,regular season
146,146,146,146,Boston Celtics,Detroit Pistons,W,10/27/2018,240,39,86,0.45299999999999996,14,34,0.41200000000000003,17,25,0.68,8,46,54,25,4,8,13,26,109,20,regular season
147,147,147,147,Detroit Pistons,Boston Celtics,L,10/27/2018,240,33,89,0.371,7,37,0.18899999999999997,16,20,0.8,6,41,47,16,4,3,11,24,89,-20,regular season
148,148,148,148,Utah Jazz,New Orleans Pelicans,W,10/27/2018,240,46,88,0.523,10,32,0.313,30,37,0.8109999999999999,6,37,43,32,7,7,13,26,132,21,regular season
149,149,149,149,New Orleans Pelicans,Utah Jazz,L,10/27/2018,240,40,95,0.42100000000000004,9,34,0.265,22,29,0.759,11,29,40,22,4,5,16,32,111,-21,regular season
150,150,150,150,Chicago Bulls,Atlanta Hawks,W,10/27/2018,240,36,83,0.434,12,33,0.364,13,16,0.813,8,44,52,25,14,6,20,21,97,12,regular season
